Edge,TimeStartEdge,Distance,Accidents
269608,18.38,139,0
30039,10.08,66,0
183493,10.15,213,0
69710,10.17,106,0
7852,16.07,398,0
91418,20.05,61,0
154069,11.17,119,0
271812,22.07,169,0
210102,9.03,250,0
3766,19.00,132,1
3767,19.02,68,0
210105,19.22,56,0
255783,10.25,162,0
182365,16.12,110,0
312969,10.32,1061,0
212948,10.55,211,0
11990,10.60,394,0
6107,21.03,383,0
314844,21.20,1905,0
327940,21.22,2951,0
66129,21.27,205,0
312970,21.30,1062,0
349417,8.28,84,0
258670,8.40,446,0
209086,17.25,23,0
242971,17.25,83,0
209066,17.27,80,0
272745,11.03,168,0
213671,11.15,103,0
403208,11.22,89,0
12379,22.00,19,0
428268,22.20,186,0
11135,22.25,178,0
11137,22.27,133,0
8647,22.28,113,0
183496,22.33,122,0
308893,9.00,228,0
43111,9.05,91,0
55597,9.28,737,0
55599,9.30,395,0
385169,16.10,570,0
128266,16.18,245,0
142205,16.23,1875,1
213670,10.10,99,0
370993,10.03,385,0
403205,10.18,42,0
13956,19.00,78,0
181398,11.18,137,0
180158,11.35,55,0
380515,19.42,86,0
394501,19.45,53,0
177883,17.07,176,0
213776,7.03,226,0
338997,7.27,147,0
32392,7.30,24,0
8504,7.35,174,0
159417,17.07,2643,0
120002,17.18,1839,0
170496,9.05,168,0
127257,19.00,12,0
40115,8.10,83,0
380374,8.10,81,0
277998,9.32,206,0
2210,20.13,543,0
120002,20.22,1839,0
402138,8.00,52,0
403880,8.03,73,0
173278,8.12,946,0
244993,8.37,13,0
6918,8.38,16,0
379452,8.43,71,0
180187,8.50,112,0
429338,14.08,235,0
392511,14.12,46,0
177887,14.22,34,0
177923,14.23,44,0
177895,14.23,130,0
391683,9.17,152,0
385987,17.02,122,0
56380,17.13,88,0
40684,17.30,68,0
16497,17.32,24,0
240516,11.27,147,0
7515,11.28,1489,0
350683,11.43,201,0
466351,11.55,240,0
332258,11.58,12,0
332246,11.62,141,0
332248,18.05,114,0
10782,18.12,603,0
325203,18.30,55,0
325205,18.30,34,0
325211,18.30,35,0
120002,18.35,1839,0
156599,16.07,157,0
197463,9.02,36,0
274381,9.03,171,0
209165,9.13,156,0
338971,9.13,84,0
400,9.13,194,0
354473,12.17,131,0
393870,20.28,78,0
378572,11.05,78,0
179727,11.20,68,0
379452,23.07,71,0
180125,23.12,58,0
275934,23.40,159,0
397564,7.18,656,1
53652,7.23,767,0
53638,7.27,1405,0
53641,7.30,314,0
392269,7.32,1883,0
450736,7.58,242,0
55597,7.60,737,0
55599,7.62,395,0
5899,7.63,143,0
53655,13.43,1944,0
397564,13.58,656,1
262260,13.65,126,0
35440,13.75,568,0
180125,9.47,58,0
16944,9.50,146,0
181385,17.02,74,0
312969,17.32,1061,1
312964,17.33,2318,0
392098,17.40,3497,0
11225,17.43,1161,0
52997,18.10,117,0
4655,9.13,282,0
2211,9.22,1803,0
120002,9.30,1839,0
163523,16.02,63,0
4682,16.18,1817,0
269875,16.28,189,0
11433,16.42,103,0
198213,16.15,26,0
446698,16.10,4,0
261955,8.00,58,0
33582,12.12,48,0
421511,12.17,26,0
302782,12.22,21,0
397188,19.25,116,0
204195,9.23,57,0
257059,9.33,346,0
334032,9.35,268,0
139,18.07,4,0
315255,18.30,136,0
8231,11.07,467,0
118955,11.17,70,0
398456,11.25,26,0
447072,11.38,10,0
239540,20.22,86,0
18931,20.37,559,0
55599,18.12,395,0
450476,11.40,44,0
458094,11.43,53,0
458097,11.45,95,0
54425,17.03,980,0
209180,17.08,194,1
414736,17.20,32,0
416647,17.22,138,0
180150,19.15,42,0
427222,14.10,17,1
1654,14.20,625,0
247614,23.15,39,0
427222,23.17,17,1
75002,9.08,516,0
364901,9.28,509,0
374026,9.37,104,0
325580,9.42,77,0
122394,9.53,894,0
122395,9.55,386,0
122381,9.55,231,0
173278,9.63,946,0
181788,9.83,180,0
242971,9.90,83,0
179652,17.05,494,0
181779,17.07,100,0
289294,17.57,128,0
364908,17.67,122,0
310423,17.70,709,0
74991,17.78,257,0
221801,9.08,25,1
221801,19.08,25,1
417447,9.10,76,0
296656,16.05,43,0
272799,10.03,252,0
121018,10.17,1951,0
13360,19.15,1255,0
409733,19.20,3157,0
83646,19.28,582,0
385193,10.03,134,0
181386,10.18,84,0
341135,16.17,51,0
11770,18.08,66,0
138902,8.13,139,0
404659,8.22,242,0
282761,8.02,152,0
3308,8.02,87,0
92,8.03,81,0
268534,13.05,254,0
436515,13.17,24,0
220104,22.08,638,0
242710,9.03,140,0
29938,9.17,145,0
236484,13.00,49,0
6199,8.10,282,0
327468,8.18,1149,0
329120,8.20,1182,1
27217,8.32,7179,0
26386,8.48,5750,0
8241,18.00,57,0
140237,18.08,5422,0
140238,18.15,123,0
312957,18.42,1135,0
54425,18.50,980,0
181285,9.18,31,0
181269,9.18,34,1
261610,21.12,199,0
274417,9.20,43,0
183488,9.20,202,0
69710,9.23,106,0
11728,9.27,22,1
250627,9.28,149,0
147082,9.30,558,0
59216,9.32,361,0
409733,14.05,3157,0
249393,14.22,143,0
245756,14.40,68,0
396966,16.10,145,0
239549,11.00,80,0
181295,11.02,72,0
12459,17.05,28,0
446808,7.18,66,0
240929,10.10,341,0
281650,10.12,899,0
159416,10.13,307,0
289686,10.48,55,0
211185,10.50,102,0
4682,21.28,1817,0
392453,11.08,128,0
222258,11.12,45,0
